CodMateria,Profesor,Aula,Paralelo,Dia,HoraInicio,HoraFin,Codigo,NombreMateria,TipoParalelo,FechaExa_Primer,FechaExa_Segundo,FechaExa_Mejoramiento,HoraEInicio_Primer,HoraEFin_Primer
TLMG1022-ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,TORRES MORAN DANNY ALFREDO,L201 -11A,1,LUNES,13:00:00,15:00:00,TLMG1022,ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,Teórico,21/11/2024,23/1/2025,6/2/2025,11:30:00,13:30:00
TLMG1022-ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,TORRES MORAN DANNY ALFREDO,L201 -11A,101,MARTES,9:00:00,11:00:00,TLMG1022,ADMINISTRACIÓN DE SISTEMAS Y SERVICIOS EN RED,Práctico,21/11/2024,23/1/2025,6/2/2025,11:30:00,13:30:00
TLMG1023-AMBIENTES INTELIGENTES,ARREAGA ALVARADO NESTOR XAVIER,L006 -11C,1,VIERNES,9:00:00,12:00:00,TLMG1023,AMBIENTES INTELIGENTES,Teórico,20/11/2024,22/1/2025,5/2/2025,9:00:00,11:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-020 -FIEC,1,MARTES,19:00:00,21:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Teórico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-020 -FIEC,1,MARTES,19:00:00,21:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Teórico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-021 -FIEC,2,MIÉRCOLES,19:00:00,21:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Teórico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-021 -FIEC,2,MIÉRCOLES,19:00:00,21:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Teórico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-020 -FIEC,101,JUEVES,19:00:00,20:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Práctico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-020 -FIEC,101,JUEVES,19:00:00,20:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Práctico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
CCPG1036-ANÁLISIS DE ALGORITMOS,TAPIA ROSERO ANA TERESA,FIEC-021 -FIEC,102,JUEVES,20:00:00,21:00:00,CCPG1036,ANÁLISIS DE ALGORITMOS,Práctico,12/2/2025,20/11/2024,29/1/2025,14:00:00,16:00:00
